"['time', 'Speed [km/h]']","['time', 'Steer [deg]']","['time', 'Yaw [deg]']","['time', 'ax [m/s²]']","['time', 'ay [m/s²]']","['time', 'az [m/s²]']"
0.0,10.23744764328003,-0.10369954050681032,0.015611021003032303,2.464611053466797,0.0003807902103289962,-0.021643077954649925
0.01,10.23744764328003,-0.10369954050681032,0.015611021003032303,2.464611053466797,0.0003807902103289962,-0.021643077954649925
0.02,11.32928867340088,-0.14376757128232737,0.01818660929982874,2.50093936920166,-0.001043424941599369,-0.0344051755964756
0.03,11.825256156921387,-0.16294436791376954,0.0193341194335039,2.541581153869629,-0.0007627476588822901,-0.008753383532166481
0.04,12.419722080230713,-0.18685774065205688,0.020678921315582594,2.4469497203826904,-0.00020398874767124653,-0.00573048135265708
0.05,12.91430597305298,-0.2046437533539684,0.021766163700970984,2.464404821395874,-0.00027728499844670296,-0.0246901698410511
0.06,13.309543418884278,-0.21748673680920055,0.02261285702905464,2.457050323486328,2.3150923880166374e-06,-0.024292048066854477
0.07,13.705363655090332,-0.23145694160132285,0.02343996192154744,2.452202320098877,3.382535851415014e-06,-0.022911110892891884
0.08,14.001531028747559,-0.24071459601061398,0.024044196874308865,2.4464237689971924,0.0001744856999721378,-0.022906843572854996
0.09,14.593927574157716,-0.2602785256297784,0.025211805706730647,2.4773006439208984,-0.00040086530498228967,-0.00409671338275075
0.1,14.987971115112305,-0.2723895449256952,0.025958167291166515,2.525768518447876,-0.0009834972443059087,-0.02476886287331581
0.11,15.283259582519532,-0.28120305027595044,0.026500968894510844,2.4955155849456787,-0.0013592675095424056,-0.028827233240008354
0.12,15.677428436279298,-0.2923983439754096,0.027202095483435256,2.451519250869751,9.643415069149341e-06,-0.017996128648519516
0.13,16.071217918396,-0.3030988491664395,0.027875946338899244,2.51617431640625,-0.001094555831514299,-0.013163783587515354
0.14,16.366056632995605,-0.310484124608648,0.02836419480779607,2.479524612426758,-0.0009781664703041315,-0.02498708851635456
0.15,16.75990104675293,-0.3198853730730681,0.02899267226303641,2.4805521965026855,-0.0007533302414231002,-0.006759629584848881
0.16,17.153127479553223,-0.3301730520257089,0.029594876168334682,2.480889320373535,-0.0010975460754707456,-0.021851012483239174
0.17,17.448512077331543,-0.33586062525277255,0.03002932689235774,2.4797816276550293,-0.000707361614331603,-0.01852770522236824
0.18,18.040318107604982,-0.3476667673156983,0.03085646013280364,2.4728081226348877,-0.0005712118581868708,-0.017155542969703674
